codusu,nro_hogar,componente,ano4,aglomerado,pondera,ch04,ch06,ch07,ch08,ch09,ch10,ch11,ch12,ch13,ch14,ch15,ch16,nivel_ed,estado,cat_ocup,cat_inac,pp02c1,pp02c2,pp02c3,pp02c4,pp02c5,pp02c6,pp02c7,pp02c8,pp02e,pp02h,pp02i,p21,decocur,rdecocur,gdecocur,adecocur,tot_p12,p47t,decindr,rdecindr,gdecindr,adecindr,v2_m,v3_m,v4_m,v5_m,v8_m,v9_m,v10_m,v11_m,v12_m,v18_m,v19_am,v21_m,t_vi,itf,decifr,rdecifr,gdecifr,adecifr,ipcf,deccfr,rdeccfr,gdeccfr,adeccfr,pareja_actual,tiene/busca_trabajo,cobertura_m,cobertura_m2,nivel_ed_or,inac_eco,inac_neco,PEA,PET,desocupado,edad_grupos
125098  ,1.0,1.0,2004,32,1299.0,1,79.0,4.0,1.0,1,2,9.0,4,2.0,03,1,1,3,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,0.0,  ,  ,  ,  ,0.0,368.0,05,04,04,03,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,368.0,02,02,02,01,206299.21759999997,07,06,06,04,0,0,1,0,3,1,0,0,0,0,"[70, 80)"
125397  ,1.0,1.0,2004,32,2018.0,2,67.0,9.0,4.0,1,2,9.0,2,1.0,  ,2,1,2,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,00,0.0,0.0,00,00,00,00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,00,0.0,00,00,00,00,0,1,0,0,2,0,0,1,0,0,"[60, 70)"
125515  ,1.0,1.0,2004,32,1486.0,2,74.0,4.0,1.0,1,2,9.0,2,1.0,  ,1,1,2,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,0.0,  ,  ,  ,  ,0.0,440.0,05,05,05,04,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,440.0,440.0,03,03,03,02,246662.10799999998,07,07,07,05,0,0,1,0,2,1,0,0,0,0,"[70, 80)"
125558  ,1.0,1.0,2004,32,1674.0,1,54.0,2.0,2.0,1,2,9.0,2,1.0,  ,1,1,2,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,10,10,10,09,0.0,2000.0,10,10,10,09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2130.0,09,09,09,08,298517.21025,08,08,08,06,1,1,1,0,2,0,0,1,1,0,"[50, 60)"
125558  ,1.0,2.0,2004,32,1674.0,2,51.0,2.0,2.0,1,2,9.0,7,1.0,  ,1,1,6,3,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,0.0,  ,  ,  ,  ,0.0,0.0,00,00,00,00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2130.0,09,09,09,08,298517.21025,08,08,08,06,1,0,1,0,6,1,0,0,1,0,"[50, 60)"
125558  ,1.0,3.0,2004,32,1674.0,2,25.0,5.0,2.0,1,1,1.0,7,2.0,04,1,1,5,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,01,01,01,01,0.0,30.0,01,01,01,01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2130.0,09,09,09,08,298517.21025,08,08,08,06,0,1,1,0,5,0,0,1,1,0,"[20, 30)"
125558  ,1.0,4.0,2004,32,1674.0,2,20.0,5.0,2.0,1,1,1.0,6,2.0,02,1,1,5,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,01,01,01,01,0.0,100.0,01,01,01,01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2130.0,09,09,09,08,298517.21025,08,08,08,06,0,1,1,0,5,0,0,1,1,0,"[20, 30)"
125599  ,1.0,1.0,2004,32,1471.0,1,55.0,1.0,4.0,1,2,9.0,4,1.0,  ,1,1,4,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,08,08,08,06,0.0,800.0,08,08,08,06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.0,07,06,07,05,116603.9056,04,04,04,02,1,1,0,0,4,0,0,1,1,0,"[50, 60)"
125599  ,1.0,2.0,2004,32,1471.0,2,48.0,1.0,4.0,1,2,9.0,4,1.0,  ,3,1,4,2,0.0,0.0,No,Sí,Sí,No,No,Sí,No,No,0.0,0.0,0.0,0.0,  ,  ,  ,  ,0.0,0.0,00,00,00,00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.0,07,06,07,05,116603.9056,04,04,04,02,1,1,0,0,4,0,0,1,1,1,"[40, 50)"
125599  ,1.0,3.0,2004,32,1471.0,1,17.0,5.0,4.0,1,1,2.0,4,2.0,03,1,1,3,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,0.0,  ,  ,  ,  ,0.0,0.0,00,00,00,00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.0,07,06,07,05,116603.9056,04,04,04,02,0,0,0,0,3,1,0,0,1,0,"[10, 20)"
